Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"2,877,000","1,388.56","2,072",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,129,"22,302",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,854,000","1,377.79","2,071",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,128,"22,297",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"3,306,000","1,679.18","1,969",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,156,"21,192",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
1953,"1,928,000","1,130.22","1,706",Jan-23,TESSENSOHN ROAD,New Sale,Strata,105,"18,362",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"3,684,000","2,045.16","1,801",Jan-23,NORTHUMBERLAND ROAD,New Sale,Strata,190,"19,389",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
1953,"2,468,000","1,227.1","2,011",Jan-23,TESSENSOHN ROAD,New Sale,Strata,114,"21,649",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
1953,"3,041,000","1,506.96","2,018",Dec-22,TESSENSOHN ROAD,New Sale,Strata,140,"21,721",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
1953,"2,354,200","1,237.86","1,902",Nov-22,TESSENSOHN ROAD,New Sale,Strata,115,"20,471",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
1953,"2,100,000","1,119.46","1,876",Nov-22,TESSENSOHN ROAD,New Sale,Strata,104,"20,192",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
1953,"2,651,000","1,399.32","1,894",Nov-22,TESSENSOHN ROAD,New Sale,Strata,130,"20,392",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,987,000","1,410.08","2,118",Nov-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"22,802",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
1953,"2,468,000","1,227.1","2,011",Nov-22,TESSENSOHN ROAD,New Sale,Strata,114,"21,649",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
1953,"2,060,000","1,140.98","1,805",Nov-22,TESSENSOHN ROAD,New Sale,Strata,106,"19,434",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,747,000","1,377.79","1,994",Oct-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,461",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
1953,"2,050,000","1,130.22","1,814",Oct-22,TESSENSOHN ROAD,New Sale,Strata,105,"19,524",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
1953,"2,080,000","1,151.75","1,806",Sep-22,TESSENSOHN ROAD,New Sale,Strata,107,"19,439",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
1953,"2,345,000","1,227.1","1,911",Sep-22,TESSENSOHN ROAD,New Sale,Strata,114,"20,570",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,810,000","1,377.79","2,039",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,953",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"3,138,000","1,582.31","1,983",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,347",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,968,000","1,388.56","2,137",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"23,008",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,536,000","1,356.26","1,870",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,126,"20,127",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,922,000","1,410.08","2,072",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"22,305",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,860,000","1,388.56","2,060",Sep-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"22,171",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,524,000","1,345.5","1,876",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,125,"20,192",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,736,000",818.06,"2,122",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,76,"22,842",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"3,128,000","1,582.31","1,977",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,279",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"3,426,000","1,679.18","2,040",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,156,"21,962",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,376,000","1,087.16","2,186",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"23,525",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,913,000","1,410.08","2,066",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"22,237",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,336,000","1,076.4","2,170",Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,360",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,358,000","1,076.4","2,191",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,580",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,366,000","1,076.4","2,198",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,660",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,851,000","1,388.56","2,053",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"22,101",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,774,000","1,377.79","2,013",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,672",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,792,000","1,377.79","2,026",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,813",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,756,000","1,377.79","2,000",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,531",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"3,176,000","1,582.31","2,007",Jul-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,605",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,374,000","1,076.4","2,205",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,740",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,168,000",484.38,"2,411",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"25,956",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"3,108,000","1,582.31","1,964",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,143",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"3,186,000","1,582.31","2,014",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,673",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,350,000","1,076.4","2,183",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,904,000",882.65,"2,157",Jun-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,220",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
